cso_uri,cso_label,esco_uri,esco_label,esco_type,similarity_score
https://cso.kmi.open.ac.uk/topics/agile,agile,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Skill,0.7059
https://cso.kmi.open.ac.uk/topics/agile_development,agile development,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Skill,0.7747
https://cso.kmi.open.ac.uk/topics/agile_practices,agile practices,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Skill,0.718
https://cso.kmi.open.ac.uk/topics/agile_process,agile process,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Skill,0.7079
https://cso.kmi.open.ac.uk/topics/agile_software_development,agile software development,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Skill,0.7974
https://cso.kmi.open.ac.uk/topics/architectural_models,architectural models,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models,Skill,0.7087
https://cso.kmi.open.ac.uk/topics/architecture_design,architecture design,http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9,system design,Skill,0.7798
https://cso.kmi.open.ac.uk/topics/architecture_frameworks,architecture frameworks,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models,Skill,0.7284
https://cso.kmi.open.ac.uk/topics/architecture_frameworks,architecture frameworks,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,Skill,0.7253
https://cso.kmi.open.ac.uk/topics/cobol_%28programming_language%29,cobol (programming language),http://data.europa.eu/esco/skill/def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,Skill,0.9042
https://cso.kmi.open.ac.uk/topics/concurrent_programming,concurrent programming,http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,use concurrent programming,Skill,0.7944
https://cso.kmi.open.ac.uk/topics/content_management,content management,http://data.europa.eu/esco/skill/c1f29568-f2bb-49d2-b6c2-28748bd1629b,manage online content,Skill,0.749
