uri,label
https://cso.kmi.open.ac.uk/topics/software_engineering,software engineering
https://cso.kmi.open.ac.uk/topics/%28e_%2C3e%29_process,"(e ,3e) process"
https://cso.kmi.open.ac.uk/topics/3d_printers,3d printers
https://cso.kmi.open.ac.uk/topics/aal,aal
https://cso.kmi.open.ac.uk/topics/adams,adams
https://cso.kmi.open.ac.uk/topics/adams_software,adams software
https://cso.kmi.open.ac.uk/topics/adaptive_hypermedia_systems,adaptive hypermedia systems
https://cso.kmi.open.ac.uk/topics/adaptive_web,adaptive web
https://cso.kmi.open.ac.uk/topics/additive_manufacturing,additive manufacturing
https://cso.kmi.open.ac.uk/topics/agile_approaches,agile approaches
https://cso.kmi.open.ac.uk/topics/agile_practices,agile practices
https://cso.kmi.open.ac.uk/topics/architecture_documentation,architecture documentation
https://cso.kmi.open.ac.uk/topics/aspect-orientation,aspect-orientation
https://cso.kmi.open.ac.uk/topics/aspect-oriented_software,aspect-oriented software
https://cso.kmi.open.ac.uk/topics/automated_debugging,automated debugging
https://cso.kmi.open.ac.uk/topics/autonomic_management,autonomic management
https://cso.kmi.open.ac.uk/topics/business_processing,business processing
https://cso.kmi.open.ac.uk/topics/circuit_modeling,circuit modeling
https://cso.kmi.open.ac.uk/topics/circuit_simulation,circuit simulation
https://cso.kmi.open.ac.uk/topics/circuit_simulators,circuit simulators
https://cso.kmi.open.ac.uk/topics/clause_learning,clause learning
https://cso.kmi.open.ac.uk/topics/cmmi,cmmi
https://cso.kmi.open.ac.uk/topics/code_inspection,code inspection
https://cso.kmi.open.ac.uk/topics/compact_model,compact model
https://cso.kmi.open.ac.uk/topics/compact_modeling,compact modeling
https://cso.kmi.open.ac.uk/topics/complexity_metrics,complexity metrics
https://cso.kmi.open.ac.uk/topics/component-based_software_systems,component-based software systems
https://cso.kmi.open.ac.uk/topics/component_based_approach,component based approach
https://cso.kmi.open.ac.uk/topics/component_repository,component repository
https://cso.kmi.open.ac.uk/topics/component_selection,component selection
https://cso.kmi.open.ac.uk/topics/computer_systems_programming,computer systems programming
https://cso.kmi.open.ac.uk/topics/computer_systems_programming--multiprocessing_prog,computer systems programming--multiprocessing prog
https://cso.kmi.open.ac.uk/topics/concurrent_programming,concurrent programming
https://cso.kmi.open.ac.uk/topics/configuration_memory,configuration memory
https://cso.kmi.open.ac.uk/topics/content_management,content management
https://cso.kmi.open.ac.uk/topics/distributed_software_development,distributed software development
https://cso.kmi.open.ac.uk/topics/dynamic_software_architecture,dynamic software architecture
https://cso.kmi.open.ac.uk/topics/engineering_research,engineering research
https://cso.kmi.open.ac.uk/topics/failed_nodes,failed nodes
https://cso.kmi.open.ac.uk/topics/failover,failover
https://cso.kmi.open.ac.uk/topics/failure_data,failure data
https://cso.kmi.open.ac.uk/topics/fault_tolerant_controllers,fault tolerant controllers
https://cso.kmi.open.ac.uk/topics/game_development,game development
https://cso.kmi.open.ac.uk/topics/game_industry,game industry
https://cso.kmi.open.ac.uk/topics/generative_programming,generative programming
https://cso.kmi.open.ac.uk/topics/global_software_engineering,global software engineering
https://cso.kmi.open.ac.uk/topics/hardware_faults,hardware faults
https://cso.kmi.open.ac.uk/topics/hbase,hbase
https://cso.kmi.open.ac.uk/topics/hdfs,hdfs
https://cso.kmi.open.ac.uk/topics/home_automation_systems,home automation systems
https://cso.kmi.open.ac.uk/topics/hybrid_automata,hybrid automata
https://cso.kmi.open.ac.uk/topics/inter-procedural,inter-procedural
https://cso.kmi.open.ac.uk/topics/iso%2Fiec_9126-i,iso/iec 9126-i
https://cso.kmi.open.ac.uk/topics/knowledge_engineering,knowledge engineering
https://cso.kmi.open.ac.uk/topics/knowledge_engineers,knowledge engineers
https://cso.kmi.open.ac.uk/topics/language_design,language design
https://cso.kmi.open.ac.uk/topics/laser_heating,laser heating
https://cso.kmi.open.ac.uk/topics/layered_manufacturing,layered manufacturing
https://cso.kmi.open.ac.uk/topics/micro_and_nano_systems,micro and nano systems
https://cso.kmi.open.ac.uk/topics/model-based_systems_engineering,model-based systems engineering
https://cso.kmi.open.ac.uk/topics/model_checking_algorithm,model checking algorithm
https://cso.kmi.open.ac.uk/topics/modulo_scheduling,modulo scheduling
https://cso.kmi.open.ac.uk/topics/multi-tier_applications,multi-tier applications
https://cso.kmi.open.ac.uk/topics/nielsen,nielsen
https://cso.kmi.open.ac.uk/topics/non-homogeneous_poisson_process,non-homogeneous poisson process
https://cso.kmi.open.ac.uk/topics/object_constraint_language,object constraint language
https://cso.kmi.open.ac.uk/topics/operational_profile,operational profile
https://cso.kmi.open.ac.uk/topics/partial_order_reductions,partial order reductions
https://cso.kmi.open.ac.uk/topics/permanent_faults,permanent faults
https://cso.kmi.open.ac.uk/topics/points-to_analysis,points-to analysis
https://cso.kmi.open.ac.uk/topics/process_engineering,process engineering
https://cso.kmi.open.ac.uk/topics/process_plan,process plan
https://cso.kmi.open.ac.uk/topics/process_planning,process planning
https://cso.kmi.open.ac.uk/topics/program_documentation,program documentation
https://cso.kmi.open.ac.uk/topics/propositional_satisfiability,propositional satisfiability
