uri,prefLabel,altLabels
http://data.europa.eu/esco/occupation/2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb,cloud architect,aws cloud architect|cloud solutions consultant
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,IoT developer,IoT software developer
http://data.europa.eu/esco/occupation/cc325a8f-702e-4bf0-893f-5b5d456475ad,cloud identity manager,cloud identity access manager|cloud identity engineer|cloud identity risk manager
http://data.europa.eu/esco/occupation/781a6350-e686-45b9-b075-e4c8d5a05ff7,cloud software developer,cloud administrator|cloud and infrastructure specialist|cloud consultant|cloud deployment specialist|cloud infrastructure it specialist|cloud solutions specialist|cloud technical specialist|full stack cloud software engineer
http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,data engineer,data engineer expert|research data engineer
http://data.europa.eu/esco/occupation/591c5063-69ce-4551-ba60-e2304111130f,aviation data communications manager,aviation data communications consultant|aviation data communications contractor|aviation data communications officer|aviation data communications specialist|aviation sector data manager|data communications manager in aviation
http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,cloud automation engineer|cloud devops|cloud devops solution specialist|cloud infrastructure devops engineer|devops|devops administrator|devops analyst|devops architect|devops consultant|devops consultant engineer|devops engineer|devops specialist|site reliability devops engineer
http://data.europa.eu/esco/occupation/dce6a68c-8a05-4c26-85d4-6fbc43e7d822,projectionist,booth operator|cinema projectionist|digital cinema projectionist|film projectionist|movie projector operator|projection operator|projection technician|projector booth operator|projector operator
http://data.europa.eu/esco/occupation/239707a0-4754-4f4b-80b6-6b1ef5657aed,sound mastering engineer,audio mastering engineer|audio mastering operator|digital mastering technician|mastering engineer|mastering technician|mixing & mastering sound engineer|mixing and mastering engineer
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,ICT change and configuration manager,application lifecycle manager|configuration manager|software change and configuration manager
http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,embedded systems security engineer,IoT security engineer|cyber security engineer|cybersecurity engineer|embedded systems security expert|internet of thing security engineer
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,cloud engineer,cloud computing engineer|cloud developer|cloud infrastructure engineer|cloud network engineer|cloud security engineer|cloud software engineer|cloud solution engineer|cloud-native engineer|hybrid cloud engineer
http://data.europa.eu/esco/occupation/22987b58-dbfa-4ecd-ae3f-82dd209255f6,green ICT consultant,ICT environmental consultant|ICT sustainability systems consultant|IT environmental consultant|green ICT consultants|green IT consultant
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,computer vision engineer,computer vision applied scientist|computer vision expert|computer vision project engineer|computer vision specialist|smart technics computer vision engineer
http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef,search engine optimisation expert,SEO expert|SEO experts|SEO specialist|growth hacker|inbound marketer|search engine marketing specialist|search engine optimisation consultant|search engine optimisation experts|search engine optimisation specialist|search engine optimiser|search engine optimization expert
http://data.europa.eu/esco/occupation/4d102082-8d43-4c59-81ab-08a7509f3c40,boom operator,TV boom operator|boom holder|film boom operator|production sound mixer assistant|shotgun microphone operator|shotgun operator|sound equipment technician
http://data.europa.eu/esco/occupation/1242d99a-47f1-4a62-b884-33746db8a6ca,ICT help desk manager,ICT help desk managers|ICT helpdesk manager|ICT helpdesk managers|ICT service desk manager|IT help desk manager|IT helpdesk manager|software support manager|technical support manager
http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,blockchain architect,DLT architect|DLT specialist|blockchain technology specialist|decentralized ledger technology specialist
http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,blockchain developer,DLT specialist|decentralized ledger technology specialist|DLT engineer|blockchain development engineer|blockchain engineer
http://data.europa.eu/esco/occupation/aaeec9a7-dc57-4485-890c-86b3eef735f9,ICT help desk agent,ICT help desk advisor|ICT helpdesk agent|ICT service desk agent|IT help desk advisor|IT help desk agent|IT support technician
http://data.europa.eu/esco/occupation/36095ccd-c62d-4f1f-8af7-1fd10618b044,sound editor,ADR editor|audio editor|automatic dialogue replacement editor|dialogue editor|dubbing manager|foley artist|foley editor|music editor|music supervisor|sound designer
http://data.europa.eu/esco/occupation/64c7d461-152c-477f-a8e2-c2c537e9d617,ICT network technician,IT network technician|assistant network administrator|network engineer|network maintenance professional|network technician|network technicians|networks technician|system engineer
http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,ICT business analysis manager,ICT business analysis managers|ICT commercial analysis manager|IT business analysis director|IT business analysis manager|IT commercial analysis manager|lead IT business analyst
http://data.europa.eu/esco/occupation/731f38f1-b08f-4dd5-a25e-f8627c038273,ICT integration tester,ICT compatibility tester|IT compatibility tester|compatibility tester|integration testers|module compatibility tester|module integration tester
http://data.europa.eu/esco/occupation/33e4f026-a823-4ffc-99e4-60d3fe597a1e,digital games tester,computer games tester|digital game tester|digital games testers|video games tester|virtual games tester
http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be,performance rental technician,equipment hire technician|equipment technician|lighting hire equipment technician|load cell hire technician|performance rental engineer|performance rental monitor|rental equipment performance engineer|rental equipment performance technician|sound equipment hire technician|special effects hire equipment technician|venue performance monitor|venue technician (rental equipment)|weight report technician
http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,ICT test analyst,IT test analyst|test designer
http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,ICT consultant,ICT ERP consultant|ICT advisor|IT advisor|IT compliance consultant|IT consultant
http://data.europa.eu/esco/occupation/cdd3d773-75a4-4f35-bd1d-1ac720afcf9d,IT auditor,ICT auditor|IT Quality Appraiser|information technology auditor
http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0,ICT business analyst,ICT business analysts|IT business analyst|business process specialist|requirement engineer
http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,data quality specialist,data integrity officer|data integrity specialist|data quality expert|data quality officer|data quality specialists
http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,ICT quality assurance manager,ICT principal testing manager|ICT quality assurance managers|ICT quality manager|ICT test manager|IT quality assurance manager|principal test manager
http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502,video technician,AV technician|audio video specialist|audio visual specialist|audio visual technician|audio-video specialist|audio-video technician|audio-visual specialist|audio/visual technician|graphics/video technician|image technician|video conference technician|video/graphics technician|visuals technician
http://data.europa.eu/esco/occupation/a99b38bc-6e71-4bef-b127-0f2b5e357815,ICT resilience manager,IT resilience manager|disaster recovery manager|manager for IT resilience|manager for disaster recovery|manager for vulnerability|vulnerability manager
http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440,ICT system tester,ICT systems test engineer|ICT systems tester|ICT systems testers|IT system tester|systems tester
http://data.europa.eu/esco/occupation/fe4a72af-6206-4d86-90c1-b5fb4b5ba2b2,broadcast technician,broadcast engineering technician|broadcast technicians|broadcast transmitter operator|broadcast transmitting equipment operator|broadcast transmitting technician|broadcasting engineer|broadcasting equipment operator|broadcasting technician|radio and TV technician
http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed,ICT auditor manager,ICT audit manager|ICT auditor managers|IT audit manager|information technology audit manager
http://data.europa.eu/esco/occupation/aa50ae49-1e40-4ba9-959f-22a11ff172b4,recording studio technician,audio editor|audio post-production technician|audio restorer|re-recording mixer|recording audio technician|recording engineer|recording sound engineer|recording sound technician|recording studio audio engineer|recording studio sound technician|recording technician|sound mixer|sounds technician|special effects sound technician|studio sound engineer|studio technician
http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,ICT disaster recovery analyst,ICT resilience analysts|IT disaster recovery analyst|IT resilience analyst|business continuity analyst|business continuity strategist|disaster recovery officer
http://data.europa.eu/esco/occupation/6fed206a-ac4d-492b-a81a-5a3a0f2b67bc,camera operator,camera crane operator|camera equipment operator|cameraman|camerawoman|railcam operator|remote head operator|steadicam operator|towercam operator|video camera operator|videographer
http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c,user experience analyst,usability analyst|user experience analysts|user experience officer
http://data.europa.eu/esco/occupation/7642cbcc-9839-47fb-b2cf-d4bb831d6c93,audio-visual technician,audio-video technician|audio & video operator|audio and video operator|audio technician|audio-video operator|audio-visual assistant|audio-visual engineer|audio-visual operator|audio-visuals technician|audiovisual assistant|video technician
http://data.europa.eu/esco/occupation/bd9d395a-d587-45c6-8d72-ceef226df9e1,ICT system integration consultant,application integration consultant|network integration consultant|system integration consultants|systems integration consultant|systems integration consultants
http://data.europa.eu/esco/occupation/5f50290d-f520-4a69-85c7-1390d2a4a8b6,ICT usability tester,usability developer|usability specialist|usability testers|user-friendliness tester
