uri,prefLabel,altLabels
http://data.europa.eu/esco/skill/090ae6b3-12ab-4c72-b98a-17b790cf416e,develop new food products,develop a new food product|developing new food products|establish new food products|evaluate new food products|launch new food products|produce new food products
http://data.europa.eu/esco/skill/09dd7302-368e-4b3e-b644-7c03a2aae4a2,food plant design,design of food plant|design of food plants|food plant arrangements|food plant designs|food plant developments|food plant layouts|food plant models
http://data.europa.eu/esco/skill/0f5bd097-ed76-47f7-8f44-93be67967b5f,explain financial jargon,clarify financial technicalities for clients|describe financial technicalities to clients|explain financial technicalities in plain words|explain financial technicalities to buyers|explain financial technicalities to clients|explain financial technicalities to customers|specify financial technicalities to clients
http://data.europa.eu/esco/skill/16b1f191-eafd-4821-a08a-9f0cc4e5a71a,pharmaceutical products,a pharmaceutical product|pharmaceutical brands|pharmaceutical commodities|pharmaceutical merchandise|pharmaceutical product|pharmaceutical stock
http://data.europa.eu/esco/skill/1db2b4ac-9459-48c6-9cb4-3759e5af39eb,manage assignment of bus routes,carry out bus route assignment activities|coordinate bus route assignment|ensure implementation of bus route services|manage allocation of bus routes|manage assigning of bus routes|manage bus route allocation|manage bus route assignments|manage bus route distribution|manage coordination of bus route assignment|manage distribution of bus routes|oversee assignment and coordination of bus routes|supervise assignment of bus routes
http://data.europa.eu/esco/skill/1f857013-3fbc-4205-b904-fe6506744687,leather goods manufacturing processes,leather goods processing operations|leather goods production processes|leatherwear manufacturing processes|leatherwear processing operations|leatherwear production processes|manufacturing processes for leather goods|manufacturing processes for leatherwear
http://data.europa.eu/esco/skill/2ee670aa-c687-4ff7-92eb-0abc9b57e5f2,mechanics of vessels,boat mechanics|mechanics of a vessel|mechanics of boats|mechanics of ships|ship mechanics|vessels' mechanics
http://data.europa.eu/esco/skill/2facacc1-920c-45f4-9a69-5892e0d34fd8,"agricultural raw materials, seeds and animal feed products","agricultural raw material, seed and animal feed products|agricultural raw materials, seeds and animal feed brands|agricultural raw materials, seeds and animal feed commodities|agricultural raw materials, seeds and animal feed parts|agricultural raw materials, seeds and animal feed production|agricultural raw materials, seeds and animal feed stock"
http://data.europa.eu/esco/skill/3159d806-fa7b-4803-9288-0c0417b7871c,textile industry machinery products,a textile industry machinery products|textile industry machine products|textile industry machinery brands|textile industry machinery commodities|textile industry machinery goods|textile industry machinery merchandise|textile industry machinery product|textile industry machinery stock
http://data.europa.eu/esco/skill/32a9f2e2-929c-4e1a-afbd-185452ab279c,conduct continuing professional development workshops,conduct continuing professional development courses|conduct professional development courses|lead continuing professional development workshops|organise continuing professional development courses|organise continuing professional development workshops
http://data.europa.eu/esco/skill/3fc5a30d-d493-44ed-a2b5-ff9a50f84de3,solve bank account problems,solve account issues|solve account problems|solve bank book problems|troubleshoot bank account problems
http://data.europa.eu/esco/skill/460e8818-6b57-4187-b60e-1605a7bb5a85,design training programmes for animals,design training program for animals|design training programme for animals|design training programs for animals|design training schedule for animal|design training schedules for animals|develop training program for animal|develop training programmes for animals|elaborate training program for animal|elaborate training programmes for animals
http://data.europa.eu/esco/skill/47d0c7cb-fa5b-4cee-a35f-0bbbeac974ea,manufacturing process of ice cream,creation process of ice cream|development process of ice cream|manufacturing processes of the ice cream|manufacturing processing of ice cream|production process of ice cream|the manufacturing process of ice cream
